,F,P
DWI_original_firstorder_10Percentile,0.1738683624008451,0.6771933659365212
DWI_original_firstorder_90Percentile,24.060582335741806,2.0787765166677007e-06
DWI_original_firstorder_Energy,11.283889766855859,0.0009543399759777294
DWI_original_firstorder_Entropy,20.7520486380546,9.614705932957479e-06
DWI_original_firstorder_InterquartileRange,49.96907879068141,3.3208459313965723e-11
DWI_original_firstorder_Kurtosis,2.3182389696818104,0.12961957254056888
DWI_original_firstorder_Maximum,40.04707998358857,1.9127355512352437e-09
DWI_original_firstorder_Mean,7.229100156746477,0.007846793960463914
DWI_original_firstorder_MeanAbsoluteDeviation,63.26368973366922,1.937251718328653e-13
DWI_original_firstorder_Median,6.786358181711045,0.009953866057729806
DWI_original_firstorder_Minimum,25.69791800810031,9.859145683239862e-07
DWI_original_firstorder_Range,89.94369963693562,1.4710838260183888e-17
DWI_original_firstorder_RobustMeanAbsoluteDeviation,52.314255005086174,1.3099908746169961e-11
DWI_original_firstorder_RootMeanSquared,8.961737014084852,0.0031445793562068984
DWI_original_firstorder_Skewness,1.1828562478971683,0.27822944214813067
DWI_original_firstorder_Uniformity,16.2264426161531,8.279132934008428e-05
DWI_original_firstorder_Variance,40.04478816021176,1.9145717197095084e-09
DWI_original_glcm_Autocorrelation,21.106955098303796,8.144873385503016e-06
DWI_original_glcm_ClusterProminence,8.224024098798207,0.004627736980490668
DWI_original_glcm_ClusterShade,0.02792961733971799,0.8674619968490191
DWI_original_glcm_ClusterTendency,8.464843689127896,0.004077498273743969
DWI_original_glcm_Contrast,23.218536624129893,3.0600210737518633e-06
DWI_original_glcm_Correlation,12.839899611386294,0.0004366577880911538
DWI_original_glcm_DifferenceEntropy,18.23243106403048,3.159743085539719e-05
DWI_original_glcm_DifferenceVariance,19.632025543894933,1.6273554741067574e-05
DWI_original_glcm_Idmn,11.068055877395901,0.0010647383948011908
DWI_original_glcm_Idn,17.07307559348296,5.503433938769002e-05
DWI_original_glcm_Imc1,5.217913004435461,0.02352277564680121
DWI_original_glcm_Imc2,8.772700396515733,0.003470521940637578
DWI_original_glcm_JointAverage,21.664901687757386,6.280045325258162e-06
DWI_original_glcm_JointEnergy,14.335200853748304,0.0002082698917539334
DWI_original_glcm_JointEntropy,16.100098275003585,8.8014446195877e-05
DWI_original_glcm_MaximumProbability,13.962552463881037,0.0002502307258327534
DWI_original_glcm_SumEntropy,13.869820244536475,0.00026195016013171984
DWI_original_glcm_SumSquares,13.352099318902443,0.0003384600528744306
DWI_original_glrlm_GrayLevelNonUniformity,78.82199682310907,6.776516320940551e-16
DWI_original_glrlm_GrayLevelNonUniformityNormalized,6.803786496462292,0.009860742696408055
DWI_original_glrlm_GrayLevelVariance,9.987988053787248,0.001848830533687382
DWI_original_glrlm_HighGrayLevelRunEmphasis,25.292039619162164,1.1853336007979995e-06
DWI_original_glrlm_LongRunEmphasis,64.8702711403421,1.0617858002806232e-13
DWI_original_glrlm_LongRunHighGrayLevelEmphasis,29.54779494670381,1.7564343552057808e-07
DWI_original_glrlm_LongRunLowGrayLevelEmphasis,38.721416393917,3.3381909831592727e-09
DWI_original_glrlm_LowGrayLevelRunEmphasis,21.514580561081218,6.735101192407609e-06
DWI_original_glrlm_RunEntropy,12.936515536507756,0.0004161319097242729
DWI_original_glrlm_RunLengthNonUniformity,82.76422905413146,1.710334919958244e-16
DWI_original_glrlm_RunLengthNonUniformityNormalized,112.57536754306943,9.783380146699719e-21
DWI_original_glrlm_RunPercentage,225.72098915849634,1.3589338112568707e-33
DWI_original_glrlm_RunVariance,34.91483729289951,1.6878636787674796e-08
DWI_original_glrlm_ShortRunEmphasis,201.66330574359054,3.4151631262676746e-31
DWI_original_glrlm_ShortRunHighGrayLevelEmphasis,117.06521994189758,2.455725256532584e-21
DWI_original_glrlm_ShortRunLowGrayLevelEmphasis,54.07319551729941,6.563664081920842e-12
DWI_original_glszm_GrayLevelNonUniformity,21.527959806797508,6.693277122180867e-06
DWI_original_glszm_GrayLevelNonUniformityNormalized,22.95815296562892,3.4501113374372525e-06
DWI_original_glszm_GrayLevelVariance,35.186502646430235,1.5018828212144284e-08
DWI_original_glszm_HighGrayLevelZoneEmphasis,22.15062967650964,5.011882700227427e-06
DWI_original_glszm_LargeAreaEmphasis,12.140627124500181,0.0006195464600490534
DWI_original_glszm_LargeAreaHighGrayLevelEmphasis,22.30545561180789,4.664894926704829e-06
DWI_original_glszm_LargeAreaLowGrayLevelEmphasis,4.519572370524736,0.03487248750862116
DWI_original_glszm_LowGrayLevelZoneEmphasis,12.186145873123532,0.0006055522480476916
DWI_original_glszm_SizeZoneNonUniformity,6.034062570559758,0.014980917504795752
DWI_original_glszm_SizeZoneNonUniformityNormalized,34.52746864285276,1.994163016982214e-08
