,0
145,DWI_original_glszm_SmallAreaHighGrayLevelEmphasis
146,DWI_original_glszm_SmallAreaLowGrayLevelEmphasis
147,DWI_original_glszm_ZoneEntropy
148,DWI_original_glszm_ZonePercentage
149,DWI_original_glszm_ZoneVariance
150,T2_original_firstorder_10Percentile
151,T2_original_firstorder_90Percentile
152,T2_original_firstorder_Energy
153,T2_original_firstorder_Entropy
154,T2_original_firstorder_InterquartileRange
155,T2_original_firstorder_Kurtosis
156,T2_original_firstorder_Maximum
157,T2_original_firstorder_Mean
158,T2_original_firstorder_MeanAbsoluteDeviation
159,T2_original_firstorder_Median
160,T2_original_firstorder_Minimum
161,T2_original_firstorder_Range
162,T2_original_firstorder_RobustMeanAbsoluteDeviation
163,T2_original_firstorder_Skewness
164,T2_original_firstorder_TotalEnergy
165,T2_original_firstorder_Uniformity
166,T2_original_firstorder_Variance
167,T2_original_glcm_Autocorrelation
168,T2_original_glcm_ClusterProminence
169,T2_original_glcm_ClusterShade
170,T2_original_glcm_ClusterTendency
171,T2_original_glcm_Contrast
172,T2_original_glcm_Correlation
173,T2_original_glcm_DifferenceAverage
174,T2_original_glcm_DifferenceEntropy
175,T2_original_glcm_DifferenceVariance
176,T2_original_glcm_Id
177,T2_original_glcm_Idmn
178,T2_original_glcm_Idn
179,T2_original_glcm_Imc1
180,T2_original_glcm_Imc2
181,T2_original_glcm_InverseVariance
182,T2_original_glcm_JointAverage
183,T2_original_glcm_JointEnergy
184,T2_original_glcm_JointEntropy
185,T2_original_glcm_MaximumProbability
186,T2_original_glcm_SumEntropy
187,T2_original_glcm_SumSquares
188,T2_original_glrlm_GrayLevelNonUniformity
189,T2_original_glrlm_GrayLevelNonUniformityNormalized
190,T2_original_glrlm_GrayLevelVariance
191,T2_original_glrlm_HighGrayLevelRunEmphasis
192,T2_original_glrlm_LongRunEmphasis
193,T2_original_glrlm_LongRunHighGrayLevelEmphasis
194,T2_original_glrlm_LongRunLowGrayLevelEmphasis
195,T2_original_glrlm_LowGrayLevelRunEmphasis
196,T2_original_glrlm_RunEntropy
197,T2_original_glrlm_RunLengthNonUniformity
198,T2_original_glrlm_RunLengthNonUniformityNormalized
199,T2_original_glrlm_RunPercentage
200,T2_original_glrlm_RunVariance
201,T2_original_glrlm_ShortRunEmphasis
202,T2_original_glrlm_ShortRunHighGrayLevelEmphasis
203,T2_original_glrlm_ShortRunLowGrayLevelEmphasis
204,T2_original_glszm_GrayLevelNonUniformity
205,T2_original_glszm_GrayLevelNonUniformityNormalized
206,T2_original_glszm_GrayLevelVariance
207,T2_original_glszm_HighGrayLevelZoneEmphasis
208,T2_original_glszm_LargeAreaEmphasis
209,T2_original_glszm_LargeAreaHighGrayLevelEmphasis
210,T2_original_glszm_LargeAreaLowGrayLevelEmphasis
211,T2_original_glszm_LowGrayLevelZoneEmphasis
212,T2_original_glszm_SizeZoneNonUniformity
213,T2_original_glszm_SizeZoneNonUniformityNormalized
214,T2_original_glszm_SmallAreaEmphasis
215,T2_original_glszm_SmallAreaHighGrayLevelEmphasis
216,T2_original_glszm_SmallAreaLowGrayLevelEmphasis
217,T2_original_glszm_ZoneEntropy
218,T2_original_glszm_ZonePercentage
