feature_name,slop,interception
ADC_general_info_VoxelNum,5287.749994090114,216.2087912087912
ADC_original_firstorder_10Percentile,15834.038892354614,1111.7756531767793
ADC_original_firstorder_90Percentile,21349.949560838162,1550.616811094179
ADC_original_firstorder_Energy,5774038869.039449,299385501.6263241
ADC_original_firstorder_Entropy,58.90691768716463,4.335833910251085
ADC_original_firstorder_InterquartileRange,3721.173567684602,234.94268186799772
ADC_original_firstorder_Kurtosis,53.90219920107858,3.4503031695766575
ADC_original_firstorder_Maximum,24000.01449003629,1756.8050993196257
ADC_original_firstorder_Mean,18470.66120980926,1326.7984460834368
ADC_original_firstorder_MeanAbsoluteDeviation,2155.242884583408,141.1333414589259
ADC_original_firstorder_Median,18478.53938327608,1322.7359245216453
ADC_original_firstorder_Minimum,13686.087752333278,900.8325455293545
ADC_original_firstorder_Range,12865.910419356198,855.9725537902711
ADC_original_firstorder_RobustMeanAbsoluteDeviation,1558.1056068903993,98.81455732968264
ADC_original_firstorder_RootMeanSquared,18663.421003108553,1343.1604731220116
ADC_original_firstorder_Skewness,10.68619539544147,0.048088581117318854
ADC_original_firstorder_TotalEnergy,17363750603.206306,904013612.0771902
ADC_original_firstorder_Uniformity,0.910271928561007,0.06247370466066908
ADC_original_firstorder_Variance,974653.7395545178,39329.43962484123
ADC_original_glcm_Autocorrelation,13104.549573369877,478.9591637681035
ADC_original_glcm_ClusterProminence,28656937.945850044,351566.1073216412
ADC_original_glcm_ClusterShade,177835.6126152249,-1370.961336493728
ADC_original_glcm_ClusterTendency,4838.667241861617,174.6067775991201
ADC_original_glcm_Contrast,1078.7521982097335,47.641619767142444
ADC_original_glcm_Correlation,8.241474342602823,0.5651998077720531
ADC_original_glcm_DifferenceAverage,70.88539955555514,4.562136540317631
ADC_original_glcm_DifferenceEntropy,42.98008861754625,3.1426491524460296
ADC_original_glcm_DifferenceVariance,389.4942668522209,16.30713124515796
ADC_original_glcm_Id,4.55678997570473,0.3279577704875072
ADC_original_glcm_Idm,3.4596739624084796,0.24193775544457963
ADC_original_glcm_Idmn,13.104368003196992,0.9711711424054748
ADC_original_glcm_Idn,12.035535107400074,0.891606122339765
ADC_original_glcm_Imc1,6.358400050382454,-0.44858085927921687
ADC_original_glcm_Imc2,13.134661568748824,0.9728423135459341
ADC_original_glcm_InverseVariance,3.542722529024479,0.24824385570494614
ADC_original_glcm_JointAverage,285.04773879546104,17.552312466490427
ADC_original_glcm_JointEnergy,0.34202268963459753,0.01712737015777732
ADC_original_glcm_JointEntropy,88.81501500262347,6.510497535190393
ADC_original_glcm_MaximumProbability,0.6029758416025311,0.037938314528274904
ADC_original_glcm_SumAverage,570.0954775909221,35.104624932980855
ADC_original_glcm_SumEntropy,63.79462455992108,4.691017022470849
ADC_original_glcm_SumSquares,1407.2553868000427,55.56209934156563
ADC_original_glrlm_GrayLevelNonUniformity,227.4613052459653,10.016139079611374
ADC_original_glrlm_GrayLevelNonUniformityNormalized,0.8781382672256152,0.060588833822942
ADC_original_glrlm_GrayLevelVariance,1580.5704544998966,63.907231916426106
ADC_original_glrlm_HighGrayLevelRunEmphasis,13350.250902923495,523.5546840619498
ADC_original_glrlm_LongRunEmphasis,17.288977608652885,1.2702764409556977
ADC_original_glrlm_LongRunHighGrayLevelEmphasis,16181.888766640383,626.1367478187444
ADC_original_glrlm_LongRunLowGrayLevelEmphasis,0.7262806666169724,0.04094558407247224
ADC_original_glrlm_LowGrayLevelRunEmphasis,0.5322063265355899,0.03209975472295846
ADC_original_glrlm_RunEntropy,62.16987228966238,4.5858955919353415
ADC_original_glrlm_RunLengthNonUniformity,4286.833096483911,179.1109851321363
ADC_original_glrlm_RunLengthNonUniformityNormalized,11.808077823038385,0.8729003822836437
ADC_original_glrlm_RunPercentage,12.532287857658064,0.9281502506042505
ADC_original_glrlm_RunVariance,1.548868685717016,0.0963016245906792
ADC_original_glrlm_ShortRunEmphasis,12.76623330671289,0.9458149745490166
ADC_original_glrlm_ShortRunHighGrayLevelEmphasis,12742.373564246946,501.8275775905039
ADC_original_glrlm_ShortRunLowGrayLevelEmphasis,0.495030158406985,0.030224870552170935
ADC_original_glszm_GrayLevelNonUniformity,89.28882241705273,4.973492845827575
ADC_original_glszm_GrayLevelNonUniformityNormalized,0.7926964792774857,0.054916480100167135
ADC_original_glszm_GrayLevelVariance,1660.09666963762,69.3142317041298
ADC_original_glszm_HighGrayLevelZoneEmphasis,13204.305198952035,540.3469964000031
ADC_original_glszm_LargeAreaEmphasis,256.6953271286604,7.142707124960661
ADC_original_glszm_LargeAreaHighGrayLevelEmphasis,82599.6914906168,2432.9173848995733
ADC_original_glszm_LargeAreaLowGrayLevelEmphasis,3.424626476720497,0.14964538646548006
ADC_original_glszm_LowGrayLevelZoneEmphasis,0.5491668695004245,0.03384922547068472
ADC_original_glszm_SizeZoneNonUniformity,1105.0827417934734,55.40188118743861
ADC_original_glszm_SizeZoneNonUniformityNormalized,7.157653356942684,0.5192698749691916
ADC_original_glszm_SmallAreaEmphasis,10.032311462827135,0.7392396007745586
ADC_original_glszm_SmallAreaHighGrayLevelEmphasis,10330.890641925322,421.13761381325287
ADC_original_glszm_SmallAreaLowGrayLevelEmphasis,0.4306081470121656,0.025641076612517875
ADC_original_glszm_ZoneEntropy,70.68972281310603,5.195075998330549
ADC_original_glszm_ZonePercentage,8.572868804261253,0.6226231242103046
ADC_original_glszm_ZoneVariance,232.47564040350855,4.112450100538901
ADC_original_shape_Elongation,10.184596857308565,0.7415833915157238
